pickup_date,total_trips,avg_duration,avg_speed,trip_volume_zscore,volume_anomaly,duration_anomaly,speed_anomaly,combined_anomaly
2008-12-31,8,876.3854166666667,4.99309464003233,-1.6235436827173426,False,True,True,True
2009-01-01,9,424.82037037037037,6.087283323841862,-1.6235193619601567,False,True,True,True
2021-12-31,23,11.26304347826087,25.483773727012164,-1.6231788713595534,False,False,False,False
2022-01-01,60285,15.718763650438195,25.13976905976717,-0.1575614018200006,False,False,False,False
2022-01-02,56423,16.19670760741778,26.60841882771439,-0.25148816607212887,False,False,False,False
2022-01-03,69725,13.908746743157643,24.313370136318913,0.07202654601534136,False,False,False,False
2022-01-04,72067,13.662434262561229,22.61247096175356,0.1289857593448298,False,False,False,False
2022-01-05,71947,13.396655176727313,21.81323570045417,0.12606726848251615,False,False,False,False
2022-01-06,77285,13.476290138232947,20.973786976976573,0.25589147034110254,False,False,False,False
2022-01-07,68773,12.757704816328113,22.05908598178954,0.04887318517431959,False,False,False,False
2022-01-08,80486,13.466530204010635,22.289362584670187,0.33374221409331967,False,False,False,False
2022-01-09,61874,13.303148603075067,25.19612344652918,-0.11891571865153044,False,False,False,False
2022-01-10,70978,13.282097974020118,21.0997193010859,0.10250045476933327,False,False,False,False
2022-01-11,74716,13.251221068222781,19.916013017827723,0.19341144513040406,False,False,False,False
2022-01-12,77578,13.519428832916548,19.670867628884064,0.26301745219658507,False,False,False,False
2022-01-13,82042,14.304494039638234,19.58947745474902,0.3715853122746536,False,False,False,False
2022-01-14,90282,14.593825827222851,19.532832675162624,0.5719883514868589,False,False,False,False
2022-01-15,85195,13.710521352974549,21.489300560020762,0.44826865968194524,False,False,False,False
2022-01-16,69313,13.737525909040631,23.273911594812898,0.06200639405473111,False,False,False,False
2022-01-17,61132,13.124011974088857,24.72054317635257,-0.1369617204835033,False,False,False,False
2022-01-18,81680,14.508132141691153,19.76654444882155,0.3627811981733407,False,False,False,False
2022-01-19,83595,14.49059453316586,19.004661937498103,0.40935544818442965,False,False,False,False
2022-01-20,87282,13.682718659059143,19.228868441839975,0.49902607992901715,False,False,False,False
2022-01-21,96723,14.449973808366849,18.343648656392077,0.7286383485215451,False,False,False,False
2022-01-22,92560,13.892452643330452,20.349300016819438,0.6273910363564467,False,False,False,False
2022-01-23,73682,14.051698741438434,23.410241213103404,0.1682637822001346,False,False,False,False
2022-01-24,75575,13.760765685301577,20.3961666787277,0.21430297555313274,False,False,False,False
2022-01-25,84142,14.01588287260425,19.03881202038395,0.4226589023651428,False,False,False,False
2022-01-26,93294,14.210104794163254,18.109138899849924,0.645242472130932,False,False,False,False
2022-01-27,96033,15.835124210774769,17.4782823350045,0.7118570260632415,False,False,False,False
2022-01-28,90926,16.67921698230796,17.35282617806714,0.5876509191146089,False,False,False,False
2022-01-29,29583,13.57240363271699,18.409118139416158,-0.9042572889429529,False,False,False,False
2022-01-30,66030,14.228558735928113,22.492595491206743,-0.0178386517867337,False,False,False,False
2022-01-31,81330,15.619547932292306,19.233464319582506,0.35426893315825914,False,False,False,False
2022-02-01,88199,16.241728553233784,17.7131428368107,0.5213282142685308,False,False,False,False
2022-02-02,88082,17.173142261377656,16.76950953397053,0.5184826856777749,False,False,False,False
2022-02-03,99130,16.664435925888565,16.728077711183662,0.7871784110681201,False,False,False,False
2022-02-04,104524,14.660148865332363,18.05099740667495,0.9183645753291195,False,False,False,False
2022-02-05,110703,14.688673899231878,19.568529317870713,1.0686425339810877,False,False,False,False
2022-02-06,83944,14.488408542202738,22.67096183150661,0.41784339244232527,False,False,False,False
2022-02-07,84931,15.916693354997978,18.544280507176016,0.4418479797848552,False,False,False,False
2022-02-08,98691,15.320394294650306,17.990494855509137,0.7765015986634892,False,False,False,False
2022-02-09,101762,15.31810499007488,17.80504072989066,0.8511906439815332,False,False,False,False
2022-02-10,108104,15.890910912948026,17.825949149770764,1.0054328860548107,False,False,False,False
2022-02-11,112572,16.84129105520615,17.74209082286895,1.114098029161623,False,False,False,False
2022-02-12,114319,16.195538070370336,18.5175257734257,1.1565863919654729,False,False,False,False
2022-02-13,87868,13.932859895904464,23.008225180378712,0.5132780436399822,False,False,False,False
2022-02-14,104607,15.01844395371884,18.8373352126934,0.9203831981755531,False,False,False,False
2022-02-15,105062,15.168430228499997,18.417798589182446,0.9314491426951591,False,False,False,False
2022-02-16,105582,15.30609368389814,18.374671129575,0.9440959364318517,False,False,False,False
2022-02-17,108307,15.903231246980035,18.189211683866173,1.010369999763558,False,False,False,False
2022-02-18,110750,17.17689872084274,17.914713895886443,1.0697856095688272,False,False,False,False
2022-02-19,109536,15.079048288538319,20.00900024619577,1.040260210345087,False,False,False,False
2022-02-20,90912,14.996878483221868,22.378536745891893,0.5873104285140056,False,False,False,False
2022-02-21,82642,15.01856541871365,23.681564534773344,0.38617776658622194,False,False,False,False
2022-02-22,97485,15.87159528816399,18.98984776939387,0.7471707654972369,False,False,False,False
2022-02-23,107970,15.801864869871261,18.608372412405153,1.0021739045918938,False,False,False,False
2022-02-24,115262,16.12219971311736,18.251232521488475,1.179520865991821,False,False,False,False
2022-02-25,113078,15.264289988621423,19.02883433003971,1.1264043322977122,False,False,False,False
2022-02-26,117424,15.323252202843257,19.876220444253686,1.232102343027839,False,False,False,False
2022-02-27,95442,15.714591060539385,22.682222760464725,0.6974834585663466,False,False,False,False
2022-02-28,98046,15.982434095560588,19.801267136799893,0.7608147102785533,False,False,False,False
2022-03-01,12,13.672222222222222,29.32700435769262,-1.6234463996885988,False,False,False,False
